name,salts,packaging_form,quantity,retail_price,cluster_id
doloforce  dt tablet 10s,piroxicam-20mg,Strip | Tablet,10,83.5,1
doloforce injection 4 x 2 ml,piroxicam-40mg,Box | Injection,4 x 2,141.5,2
doloforce plus injection,piroxicam(20.0 mg),INJECTION,1ml Injection,32.2,2
doloforce plus tablet,"paracetamol/acetaminophen 325mg,piroxicam 20mg",strip,10 tablets,35.0,4
doloforce plus tablet,paracetamol-325mg + piroxicam-20mg,Strip | Tablet,10,42.3,4
dolofort 100mg injection,tramadol (100mg),injection,100,143.3909250764526,2
dolofort 50mg injection,tramadol (50mg),injection,50,143.3909250764526,2
doloforte tablet 10s,paracetamol-500mg,Strip | Tablet,10,41.0,4
dolofresh 100mg325mg tablet,aceclofenac (100mg) + paracetamol (325mg),strip,10.0 tablets in 1 strip,44.0,4
dolofresh alu strip of 10 tablets,aceclofenac(100.0 mg) + paracetamol / acetaminophen(325.0 mg),STRIP,10 Tablet(s) in Strip,50.0,4
dolofresh mr 100mg325mg250mg tablet,aceclofenac (100mg) + paracetamol (325mg) + chlorzoxazone (250mg),strip,10.0 tablets in 1 strip,85.0,4
dolofresh mr strip of 10 tablets,chlorzoxazone(250.0 mg) + aceclofenac(100.0 mg) + paracetamol / acetaminophen(325.0 mg),STRIP,10 Tablet(s) in Strip,85.0,4
dolofresh oral suspension,aceclofenac (50mg) + paracetamol (125mg),bottle,60.0 ml in 1 bottle,40.0,0
dolofresh sp 100mg325mg15mg tablet,aceclofenac (100mg) + paracetamol (325mg) + serratiopeptidase (15mg),strip,10.0 tablets in 1 strip,85.0,4
dolofresh sp strip of 10 tablets,aceclofenac(100.0 mg) + serratiopeptidase(15.0 mg) + paracetamol / acetaminophen(325.0 mg),STRIP,10 Tablet(s) in Strip,88.0,4
dolofresh strip of 10 tablets,aceclofenac(100.0 mg) + paracetamol / acetaminophen(325.0 mg),STRIP,10 Tablet(s) in Strip,48.0,4
dolofresh tablet 10s,aceclofenac-100mg + paracetamol-325mg,Strip | Tablet,10,44.0,4
dologaba 300mg strip of 10 tablets,gabapentin(300.0 mg),STRIP,10 Tablet(s) in Strip,181.0,1
dologaba 300mg tablet,gabapentin 300mg,strip,300,114.0,1
dologel 15 gm,benzalkonium chloride-0.01%w/w + choline salicylate-8.7%w/w + lignocaine hydrochloride-2%w/w,Tube | Mouth Gel,15,109.0,3
dologel ct gel 10gm,choline salicylate(8.7 %) + lidocaine / lignocaine(2.0 %),TUBE,10g Mouth Gel in Tube,103.0,3
dologel ct gel 10 gm,benzalkonium chloride-0.01%w/w + choline salicylate-8.7% w/w + lignocaine hydrochloride-2%w/w,Tube | Mouth Gel,10,103.0,3
dologel ct tube 10gm,benzalkonium chloride 0.01 %w/w + choline salicylate 8.7 %w/w + lignocaine 2 %w/w,Tube GEL,10,103.0,3
dologel gel 15gm,choline salicylate(8.7 %) + lidocaine / lignocaine(2.0 %),TUBE,15g Mouth Gel in Tube,109.0,3
dologen plus 325mg20mg tablet,paracetamol (325mg) + piroxicam (20mg),strip,10.0 tablets in 1 strip,125.0,4
dologen strip of 10 tablets,tramadol(37.5 mg) + paracetamol / acetaminophen(325.0 mg),STRIP,10 Tablet(s) in Strip,64.0,4
dologen tablet,tramadol (37.5mg) + paracetamol (325mg),strip,10 tablets,143.3909250764526,4
dologen tablet 10s,acetaminophen + tramadol,Strip | Tablet,10,78.5,4
dologen xt 50mg50mg tablet,eperisone (50mg) + diclofenac (50mg),strip,10.0 tablets in 1 strip,200.0,1
dologen xt strip of 10 tablets,diclofenac sodium + eperisone,STRIP,10 Tablet(s) in Strip,200.0,1
dologesic gold tablets,diclofenac sodium + paracetamol,STRIP,10 Tablet(s) in Strip,20.0,4
dologesic sp strip of 10 tablets,diclofenac(50.0 mg) + serratiopeptidase(10.0 mg) + paracetamol / acetaminophen(325.0 mg),STRIP,10 Tablet(s) in Strip,90.55,4
dologesic sp tablet,"diclofenac na,paracetamol/acetaminophen na,serrati",strip,10 tablets,16.25,4
dologesic strip of 10 tablets,diclofenac(50.0 mg) + paracetamol / acetaminophen(325.0 mg),STRIP,10 Tablet(s) in Strip,39.5,4
dologin 500mg tablet,mefenamic acid (500mg),strip,10.0 tablets in 1 strip,395.58,1
dologlan 1000mg infusion,paracetamol (1000mg),bottle,100.0 ml in 1 bottle,313.0,0
dologlan bottle of 100ml infusion,paracetamol / acetaminophen(1.0 g),BOTTLE,100ml Infusion in Bottle,340.0,0
dolohit 50mg injection,tramadol (50mg),injection,50,143.3909250764526,2
dolohit p 375mg325mg tablet,tramadol (37.5mg) + paracetamol (325mg),strip,325,143.3909250764526,4
doloid suspension 60ml,paracetamol + propoxyphene,BOTTLE,60ml Suspension in Bottle,143.3909250764526,0
doloja aq 75mg injection,diclofenac-75mg,Vial | Injection,1,22.99,2
dolojoy tablet,paracetamol (650mg) + codeine (30mg),strip,10 tablets,143.3909250764526,4
dolojoy tablet 10s,codeine-30mg + paracetamol-650mg,Strip | Tablet,10,155.0,4
dolojust 50mg325mg tablet,"diclofenac 50mg,paracetamol/acetaminophen 325mg",strip,325,19.48,4
dolojust strip of 10 tablets,diclofenac(50.0 mg) + paracetamol / acetaminophen(325.0 mg),STRIP,10 Tablet(s) in Strip,23.52,4
dolojust tablet 10s,diclofenac-50mg + paracetamol-500mg,Strip | Tablet,10,25.5,4
dolokam 20mg tablet dt,piroxicam (20mg),strip,10.0 tablet dt in 1 strip,36.5,1
dolokam dt 20mg tablets,piroxicam(20.0 mg),STRIP,10 Tablet(s) in Strip,31.0,1
doloket eye drops 5ml,ketorolac(0.5 %),BOTTLE,5ml Eye Drop in Bottle,36.5,0
doloket ls eye drops 5ml,ketorolac(0.4 %),BOTTLE,5ml Eye Drop in Bottle,40.0,0
doloketls eye drops 5 ml,ketorolac-0.4%w/v,Bottle | Eye Drops,5,36.5,0
doloket o eye drops 5ml,ketorolac(4.0 mg) + ofloxacin(3.0 mg),BOTTLE,5ml Eye Drop in Bottle,52.37,0
dolokind 100mg strip of 10 tablets,aceclofenac(100.0 mg),STRIP,10 Tablet(s) in Strip,38.8,1
dolokind 100mg tablet,aceclofenac (100mg),strip,10.0 tablets in 1 strip,38.8,1
dolokind aa strip of 10 tablets,aceclofenac(100.0 mg) + serratiopeptidase(15.0 mg) + paracetamol / acetaminophen(325.0 mg),STRIP,10 Tablet(s) in Strip,104.5,4
dolokind aa tablet,aceclofenac (100mg) + paracetamol (325mg) + serratiopeptidase (15mg),strip,10.0 tablets in 1 strip,114.95,4
dolokindaa tablet 10s,aceclofenac-100mg + paracetamol-325mg + serratiopeptidase-15mg,Strip | Tablet,10,114.5,4
dolokind aq ampoule of 1ml injection,diclofenac sodium(75.0 mg/ml),AMPOULE,1ml Injection in Ampoule,32.89,2
dolokind aqua 75mg injection,diclofenac (75mg),injection,1.0 ml in 1 ampoule,36.17,2
dolokind aqua injection 1s,diclofenac-75mg,Vial | Injection,1,36.0,2
dolokind eye drops 5ml,carmellose + flurbiprofen,BOTTLE,5ml Eye Drop in Bottle,54.57,0
dolokind eye drops 5ml,flurbiprofen-0.03mg/5ml + hypromellose-0.25% w/v,Bottle | Eye Drops,5,60.5,0
dolokind gel 15gm,methylsalicylate(5.0 %) + menthol(5.0 %) + capsaicin(0.025 %) + diclofenac(1.16 %),TUBE,15g Gel in Tube,84.7,3
dolokind gel 20 gm,capsaicin-0.025%w/w + diclofenac-1%w/w + menthol-5%w/w + methyl salicylate-5%w/w,Tube | Gel,20,93.0,3
dolokind gel 30gm,methylsalicylate(5.0 %) + menthol(5.0 %) + capsaicin(0.025 %) + diclofenac(1.16 %),TUBE,30g Gel in Tube,39.99,3
dolokind m tablet,aceclofenac (100mg) + paracetamol (325mg) + chlorzoxazone (250mg),strip,10.0 tablets in 1 strip,38.1,4
dolokind mr strip of 10 tablets,chlorzoxazone(250.0 mg) + aceclofenac(100.0 mg) + paracetamol / acetaminophen(325.0 mg),STRIP,10 Tablet(s) in Strip,82.5,4
dolokindmr tablet,"aceclofenac 100mg, paracetamol 325mg, chlorzoxazon",strip,10 tablets,82.5,4
dolokindmr tablet 10s,aceclofenac-100mg + chlorzoxazone-250mg + paracetamol-325mg,Strip | Tablet,10,82.5,4
dolokind ortho tablets,aceclofenac + glucosamine + methyl sulfonylmethane,STRIP,10 Tablet(s) in Strip,38.8,1
dolokind plus strip of 10 tablets,aceclofenac(100.0 mg) + paracetamol / acetaminophen(325.0 mg),STRIP,10 Tablet(s) in Strip,75.3,4
dolokind plus strip of 15 tablets,aceclofenac(100.0 mg) + paracetamol / acetaminophen(325.0 mg),STRIP,15 Tablet(s) in Strip,75.3,4
dolokind plus tablet,"aceclofenac 100mg,paracetamol/acetaminophen 325mg",strip,10 tablets,75.3,4
dolokind plus tablet 15s,aceclofenac-100mg + paracetamol-325mg,Strip | Tablet,15,75.0,4
dolokind spas 10 mg500 mg tablet,"hyoscine butylbromide 10mg,paracetamol/acetaminoph",strip,500,25.0,4
dolokind spas h 10 mg tablet 10,hyoscyamine + paracetamol,STRIP,30 Tablet(s) in Strip,33.33,4
dolokind spas h tablet,"hyoscyamine 10mg,paracetamol/acetaminophen na",strip,10 tablets,33.33,4
dolokind spas inj 1ml,hyoscine butylbromide 20 mg /ml,Vial INJECTION,1,10.33,2
dolokind spas injection,butylscopolamine(20.0 mg),AMPOULE,1ml Injection in Ampoule,10.33,2
dolokind spas injection 2 ml,scopolamine(20.0 mg),INJECTION,2ml Injection,10.99,2
dolokind spas rf strip of 10 tablets,hyoscine(10.0 mg) + paracetamol / acetaminophen(500.0 mg),STRIP,10 Tablet(s) in Strip,25.0,4
dolokind spas rf tablet,"hyoscine butylbromide 10mg,paracetamol/acetaminoph",strip,10 tablets,45.0,4
dolokind spas rf tablet 10s,hyoscine butylbromide-10mg + paracetamol-500mg,Strip | Tablet,10,25.0,4
dolokind spas tab 1x10,hyoscine butylbromide 10 mg+paracetamol/acetaminophen 500 mg,Strip,10,25.0,4
dolokind spas tablet 10s,hyoscine butylbromide-10mg + paracetamol-500mg,Strip | Tablet,10,27.5,4
dolokind sr 200mg strip of 10 tablets,aceclofenac(200.0 mg),STRIP,10 Tablet(s) in Strip,69.49,1
dolokind sr tab 1x10,aceclofenac 200 mg sustained release,Strip TABLET,10,47.48,1
dolokind  sr tablet,aceclofenac 200mg,strip,10 tablets,47.48,1
dolokind sr tablet 10s,aceclofenac-200mg,Strip | Tablet,10,69.0,1
dolokind tablet 10s,aceclofenac-100mg,Strip | Tablet,10,38.5,1
dolokind tube of 20gm gel,capsaicin(0.025 %w/w) + menthol(5.0 %w/w) + diclofenac sodium(1.0 %w/w) + methyl salicylate(5.0 %w/w),TUBE,20g Gel in Tube,93.17,3
dolokoff dx syrup 100 ml,dextromethorphan,BOTTLE,100ml Syrup in Bottle,90.0,0
dolokoffdx syrup 100 ml,dexchlorpheniramine-4mg + dextromethorphan-10mg,Bottle | Syrup,100,82.55,0
dolokoff syrup 100ml,chlorpheniramine + codeine,BOTTLE,100ml Syrup in Bottle,69.5,0
dolokoff syrup 60ml,chlorpheniramine + codeine,BOTTLE,60ml Syrup in Bottle,40.88,0
dololax 100mg tablet,aceclofenac (100mg),strip,10.0 tablets in 1 strip,28.0,1
dololax tablet,aceclofenac(100.0 mg),STRIP,10 Tablet(s) in Strip,9.4,1
dololsac 50mg capsule dr,diacerein (50mg),strip,50,143.3909250764526,1
dololsac dr capsules,diacerein,STRIP,10 Capsule(s) in Strip,115.0,1
dololup 20mg injection 2ml,piroxicam(20.0 mg),INJECTION,2ml Injection,8.0,2
dololup 20mg tablet dt,piroxicam (20mg),strip,10.0 tablet dt in 1 strip,6.37,1
dololup dt 20 mg strip of 10 tablets,piroxicam(20.0 mg),STRIP,10 Tablet(s) in Strip,6.37,1
dolomade sp 100mg325mg15mg tablet,aceclofenac (100mg) + paracetamol (325mg) + serratiopeptidase (15mg),strip,10.0 tablets in 1 strip,99.0,4
dolomade th 4mg100mg325mg tablet,thiocolchicoside (4mg) + aceclofenac (100mg) + paracetamol (325mg),strip,10.0 tablets in 1 strip,149.0,4
dolomark ds bottle of 60ml suspension,paracetamol / acetaminophen(250.0 mg),BOTTLE,60ml Suspension in Bottle,39.6,0
dolomark oral suspension,ibuprofen (100mg) + paracetamol (125mg),bottle,60.0 ml in 1 bottle,34.51,0
dolomas 100mg325mg250mg tablet mr,aceclofenac (100mg) + paracetamol (325mg) + chlorzoxazone (250mg),strip,10.0 tablet mr in 1 strip,74.0,4
dolomas 200mg tablet sr,aceclofenac (200mg),strip,10.0 tablet sr in 1 strip,52.0,1
dolomas p 100mg325mg tablet,aceclofenac (100mg) + paracetamol (325mg),strip,10.0 tablets in 1 strip,43.0,4
dolomas sp 100mg325mg10mg tablet,aceclofenac (100mg) + paracetamol (325mg) + serratiopeptidase (10mg),strip,10.0 tablets in 1 strip,93.0,4
dolomax 650mg tablet,doxofylline (650mg),strip,10.0 tablets in 1 strip,126.0,1
dolomec 90 tablet,etoricoxib (90mg),strip,10.0 tablets in 1 strip,114.0,1
dolomec ace tablet,aceclofenac (100mg) + paracetamol (325mg),strip,10.0 tablets in 1 strip,31.5,4
dolomec ace tablets,aceclofenac(100.0 mg) + paracetamol / acetaminophen(325.0 mg),STRIP,10 Tablet(s) in Strip,33.85,4
dolomec dp 25mg injection,diclofenac 25mg,injection,25,14.4,2
dolomec mf plus suspension 60ml,mefenamic acid + paracetamol,BOTTLE,60ml Suspension in Bottle,37.0,0
dolomec mf plus syrup,"mefenamic acid 100mg,paracetamol/acetaminophen 125",bottle,100 ml,37.99,0
dolomec mf suspension 60ml,mefenamic acid + paracetamol,BOTTLE,60ml Suspension in Bottle,29.11,0
dolomec mf syrup,mefenamic acid (50mg/5ml) + paracetamol (125mg/5ml),bottle,60.0 ml in 1 bottle,28.35,0
dolomec mr tablet,etoricoxib (60mg) + thiocolchicoside (4mg),strip,10.0 tablets in 1 strip,212.0,1
dolomec sp tablet,aceclofenac-100mg + paracetamol-325mg + serratiopeptidase-15mg,Strip | Tablet,10,69.8,4
dolomec sp tablets,aceclofenac + paracetamol + serratiopeptidase,STRIP,10 Tablet(s) in Strip,69.8,4
dolomec strip of 10 tablets,ibuprofen(400.0 mg) + methionine(50.0 mg) + paracetamol / acetaminophen(500.0 mg),STRIP,10 Tablet(s) in Strip,11.25,4
dolomec suspension,ibuprofen-100mg + paracetamol-162.5mg,Bottle | Suspension,60,20.4,0
dolomec tablet,"ibuprofen 400mg,methionine 50mg,paracetamol/acetam",strip,10 tablets,8.43,4
dolomed 100 mg125 mg suspension,ibuprofen (100mg) + paracetamol (125mg),bottle,60.0 ml in 1 bottle,10.96,0
dolomed 100 mg125 mg syrup,ibuprofen (100mg) + paracetamol (125mg),bottle,50.0 ml in 1 bottle,10.96,0
dolomed 100mg suspension 60ml,ibuprofen + paracetamol,BOTTLE,60ml Suspension in Bottle,10.96,0
dolomed 400325 mg strip of 10 tablets,ibuprofen(400.0 mg) + paracetamol / acetaminophen(325.0 mg),STRIP,10 Tablet(s) in Strip,14.5,4
dolomed 400mg325mg tablet,ibuprofen (400mg) + paracetamol (325mg),strip,10.0 tablets in 1 strip,14.5,4
dolomed 600mg tablet,ibuprofen(600.0 mg) + paracetamol / acetaminophen(325.0 mg),STRIP,10 Tablet(s) in Strip,15.9,4
dolomed 650mg strip of 10 tablets,paracetamol / acetaminophen(650.0 mg),STRIP,10 Tablet(s) in Strip,14.5,4
dolomed 650mg strip of 15 tablets,paracetamol / acetaminophen(650.0 mg),STRIP,15 Tablet(s) in Strip,30.8,4
dolomed 650mg tablet,paracetamol (650mg),strip,15.0 tablets in 1 strip,33.5,4
dolomed650 tablet 15s,paracetamol-650mg,Strip | Tablet,15,33.5,4
dolomed d tablet,ibuprofen(400.0 mg) + paracetamol / acetaminophen(500.0 mg),STRIP,10 Tablet(s) in Strip,14.5,4
dolomed gel 30gm,pain relif,TUBE,30g Gel in Tube,31.5,3
dolomedibu tablet 10s,ibuprofen-400mg + paracetamol-325mg,Strip | Tablet,10,17.0,4
dolomed mr strip of 10 tablets,chlorzoxazone(250.0 mg) + ibuprofen(400.0 mg) + paracetamol / acetaminophen(325.0 mg),STRIP,10 Tablet(s) in Strip,18.15,4
dolomed mr tablet,ibuprofen (400mg) + paracetamol (325mg) + chlorzoxazone (250mg),strip,10.0 tablets in 1 strip,24.05,4
dolomed mr tablet 10s,chlorzoxazone-250mg + ibuprofen-400mg + paracetamol-325mg,Strip | Tablet,10,24.0,4
dolomed strip of 10 tablets,ibuprofen(400.0 mg) + paracetamol / acetaminophen(500.0 mg),STRIP,10 Tablet(s) in Strip,15.9,4
dolomed strip of 20 tablets,ibuprofen + paracetamol,STRIP,20 Tablet(s) in Strip,15.08,4
dolomed t 100mg injection,tramadol(100.0 mg),INJECTION,2ml Injection,15.0,2
dolomed t 100mg tablet sr,tramadol (100mg),strip,100,143.3909250764526,1
dolomed t 50mg injection,tramadol(50.0 mg),INJECTION,1ml Injection,12.0,2
dolomed t sr 100mg tablets,tramadol(50.0 mg),STRIP,10 Tablet(s) in Strip,100.0,1
dolomedt tablet 10s,paracetamol-325mg + tramadol-37.5mg,Strip | Tablet,10,53.5,4
dolomed tablet 10s,ibuprofen-400mg + paracetamol-325mg,Strip | Tablet,10,15.5,4
dolomeg 200mg325mg tablet,diclofenac (200mg) + paracetamol (325mg),strip,10.0 tablets in 1 strip,48.0,4
dolomeg mr 250mg200mg325mg tablet,chlorzoxazone (250mg) + diclofenac (200mg) + paracetamol (325mg),strip,10.0 tablets in 1 strip,55.0,4
dolomeg sp 200mg325mg10mg tablet,diclofenac (200mg) + paracetamol (325mg) + serratiopeptidase (10mg),strip,10.0 tablets in 1 strip,75.0,4
dolomeg th 4mg200mg tablet,thiocolchicoside (4mg) + diclofenac (200mg),strip,10.0 tablets in 1 strip,182.0,1
dolomet 500mg tablet,paracetamol (500mg),strip,10.0 tablets in 1 strip,7.0,4
dolomide tablet 10s,nimesulide-100mg + paracetamol-500mg,Strip | Tablet,10,52.0,4
dolomine 500mg tablets,paracetamol / acetaminophen(500.0 mg),STRIP,10 Tablet(s) in Strip,74.5,4
dolomine 650mg tablet,paracetamol / acetaminophen(650.0 mg),STRIP,10 Tablet(s) in Strip,18.0,4
dolomine 650 mg tablet 10s,paracetamol-650mg,Strip | Tablet,10,18.0,4
dolomine plus tablets,aceclofenac + paracetamol,STRIP,10 Tablet(s) in Strip,20.79,4
dolomine tablet,"doxylamine na,vitamin b6 (pyridoxine) na",strip,10 tablets,57.0,1
dolomol 125 mg syrup 60 ml,paracetamol / acetaminophen(125.0 mg),BOTTLE,60ml Syrup in Bottle,13.75,0
dolomol 250mg5ml syrup,paracetamol/acetaminophen 250mg/5ml,bottle,5,29.55,0
dolomol 250mg bottle of 60ml suspension,paracetamol / acetaminophen(250.0 mg/5ml),BOTTLE,60ml Suspension in Bottle,37.71,0
dolomol 500mg tablet,paracetamol / acetaminophen(500.0 mg),STRIP,10 Tablet(s) in Strip,9.96,4
dolomonsp tablet,aceclofenac (100mg) + paracetamol (325mg) + serratiopeptidase (15mg),strip,10.0 tablets in 1 strip,119.0,4
dolomon th 4 tablet,aceclofenac-100mg + thiocolchicoside-4mg,Strip | Tablet,10,175.0,1
dolomor cold ds suspension 60 ml,chlorpheniramine-2mg + paracetamol-250mg + phenylephrine-5mg,Bottle | Oral Suspension,60,90.0,0
dolomor cold susension 60 ml,chlorpheniramine-1mg + paracetamol-125mg + phenylephrine-2.5mg,Bottle | Suspension,60,75.0,0
dolomor gel 30 gm,diclofenac-1%w/w + linseed oil-3%w/w + menthol-5%w/w + methyl salicylate-10%w/w,Tube | Gel,30,99.0,3
dolomor gel 50 gm,diclofenac-1%w/w + linseed oil-3%w/w + menthol-5%w/w + methyl salicylate-10%w/w,Tube | Gel,50,170.0,3
dolomor mr tablet 10s,chlorzoxazone-250mg + diclofenac-50mg + paracetamol-325mg,Strip | Tablet,10,91.0,4
dolomorp tablet 10s,diclofenac-50mg + paracetamol-325mg,Strip | Tablet,10,50.0,4
dolomor plus tablet 10s,caffeine-30mg + diphenhydramine-25mg + paracetamol-325mg + phenylephrine-5mg,Strip | Tablet,10,69.0,4
dolomorsp tablet 10s,diclofenac-50mg + paracetamol-325mg + serratiopeptidase-10mg,Strip | Tablet,10,81.0,4
dolomort tablet 10s,diclofenac-50mg + tolperisone-150mg,Strip | Tablet,10,149.0,1
dolona injection,diclofenac(75.0 mg),INJECTION,3ml Injection,5.16,2
dolona p tablets,diclofenac potassium + paracetamol,STRIP,10 Tablet(s) in Strip,104.0,4
dolonac gel 30 gm,diclofenac sodium-1%w/w + linseed oil-3%w/w%methyl salicylate + menthol-5%w/w,Tube | Gel,30,149.5,3
dolonacp tablet,diclofenac (50mg) + paracetamol (325mg),strip,10.0 tablets in 1 strip,45.0,4
dolonac pc tablet,chlorzoxazone-500mg + diclofenac-50mg + paracetamol-325mg,Strip | Tablet,10,52.0,4
dolonar 20mg tablet dt,piroxicam-20mg,Strip | Tablet,10,47.0,1
dolonase 50 mg10 mg tablet,diclofenac (50mg) + serratiopeptidase (10mg),strip,10.0 tablets in 1 strip,53.93,1
dolonase a tablet,aceclofenac (100mg) + paracetamol (325mg),strip,10.0 tablets in 1 strip,30.75,4
dolonase a tablet 10,aceclofenac(100.0 mg) + paracetamol / acetaminophen(325.0 mg),STRIP,10 Tablet(s) in Strip,35.0,4
dolonase sp tablet 10,diclofenac(50.0 mg) + serratiopeptidase(10.0 mg),STRIP,10 Tablet(s) in Strip,82.0,1
dolonase strip of 10 tablets,diclofenac(50.0 mg) + serratiopeptidase(10.0 mg),STRIP,10 Tablet(s) in Strip,64.0,1
dolonase tablet 10s,diclofenac-50mg + serratiopeptidase-10mg,Strip | Tablet,10,64.0,1
dolonat tablet,tramadol (37.5mg) + paracetamol (325mg),strip,10 tablets,143.3909250764526,4
dolonat tablet,paracetamol-325mg + tramadol-37.5mg,Strip | Tablet,10,53.0,4
dolonek excel gel,benzyl alcohol + diclofenac + menthol + methyl salicylate,TUBE,30g Gel in Tube,60.0,3
doloneuron 100mg strip of 10 tablets,vitamin b12 / mecobalamin / cynocobalamin / methylcobalamin(500.0 mcg) + gabapentin(100.0 mg),STRIP,10 Tablet(s) in Strip,140.0,1
doloneuron 100mg strip of 15 tablets,vitamin b12 / mecobalamin / cynocobalamin / methylcobalamin(500.0 mcg) + gabapentin(100.0 mg),STRIP,15 Tablet(s) in Strip,153.11,1
doloneuron 100 tablet,gabapentin (100mg) + methylcobalamin (500mcg),strip,15.0 tablets in 1 strip,168.0,1
doloneuron 100 tablet 15s,gabapentin-100mg + methylcobalamin-500mcg,Strip | Tablet,15,168.0,1
doloneuron 300mg strip of 10 tablets,gabapentin(300.0 mg) + vitamin b12 / mecobalamin / cynocobalamin / methylcobalamin(500.0 mcg),STRIP,10 Tablet(s) in Strip,190.32,1
doloneuron 300 tablet,gabapentin (300mg) + methylcobalamin (500mcg),strip,10.0 tablets in 1 strip,205.5,1
doloneuron 300 tablet 10s,gabapentin-300mg + methylcobalamin-500mcg,Strip | Tablet,10,205.5,1
doloneuron nt 10010mg strip of 10 tablets,nortriptyline(10.0 mg) + gabapentin(100.0 mg),STRIP,10 Tablet(s) in Strip,79.0,1
doloneuron nt 100 tablet,gabapentin (100mg) + nortriptyline (10mg),strip,10.0 tablets in 1 strip,95.0,1
doloneuron nt 100 tablet 10s,gabapentin-100mg + nortriptyline-10mg,Strip | Tablet,10,95.0,1
doloneuronnt 200 tablet,gabapentin (200mg) + nortriptyline (10mg),strip,10.0 tablets in 1 strip,174.5,1
doloneuronnt 200 tablet 10s,gabapentin-200mg + nortriptyline-10mg,Strip | Tablet,10,174.5,1
doloneuron nt 400mg strip of 10 tablets,gabapentin(400.0 mg) + nortriptyline(10.0 mg),STRIP,10 Tablet(s) in Strip,237.0,1
doloneuronnt capsule 10s,gabapentin-400mg + nortriptyline-10mg,Strip | Capsule,10,284.5,1
doloneuron nt tablet,"gabapentin 400mg,nortriptyline 10mg",strip,10 tablets,86.5,1
doloneuron pg 75mg capsule,vitamin b12 / mecobalamin / cynocobalamin / methylcobalamin(750.0 mcg) + pregabalin(75.0 mg),STRIP,10 Capsule(s) in Strip,79.0,1
doloneuron pg 75mg capsule,"methylcobalamin/mecobalamin 750mcg,pregabalin 75mg",strip,75,79.0,1
dolonex 10mg capsule,piroxicam 10mg,strip,10,69.77,1
dolonex 20mg ampoule of 1ml injection,piroxicam(20.0 mg),AMPOULE,1ml Injection in Ampoule,31.85,2
dolonex 20mg capsule,piroxicam 20mg,strip,20,196.22,1
dolonex 20mg strip of 10 capsules,piroxicam(20.0 mg),STRIP,10 Capsule(s) in Strip,189.47,1
dolonex 40 mg im injection 5 x 2 ml,piroxicam-40mg,Box | Injection,5 x 2,320.0,2
dolonex 40 mg injection,piroxicam 40mg,injection,40,165.0,2
dolonex 5mg gel 15gm,piroxicam(5.0 mg),TUBE,15g Gel in Tube,79.75,3
dolonex dt 10mg strip of 15 tablets,piroxicam(10.0 mg),STRIP,15 Tablet(s) in Strip,178.4,1
dolonex dt 20mg tab 1x15,piroxicam 20 mg,Strip,15,237.0,1
dolonex dt 20mg tablet,piroxicam(20.0 mg),STRIP,10 Tablet(s) in Strip,215.82,1
dolonex dt 20mg tablet,piroxicam 20mg,strip,20,237.0,1
dolonex dt 20 mg tablet 10s,piroxicam-20mg,Strip | Tablet,10,215.5,1
dolonex dt 20 mg tablet 15s,piroxicam-20mg,Strip | Tablet,15,237.0,1
dolonex dt 20 strip of 15 tablets,piroxicam(20.0 mg),STRIP,15 Tablet(s) in Strip,237.0,1
dolonex e 120 mg strip of 15 tablets,etoricoxib(120.0 mg),STRIP,15 Tablet(s) in Strip,306.87,1
dolonex e 120mg tablet,etoricoxib (120mg),strip,15.0 tablets in 1 strip,306.87,1
dolonex e 120 mg tablet 15s,etoricoxib-120mg,Strip | Tablet,15,306.5,1
dolonex e 60mg strip of 15 tablets,etoricoxib(60.0 mg),STRIP,15 Tablet(s) in Strip,211.18,1
dolonex e 60mg tablet,etoricoxib (60mg),strip,15.0 tablets in 1 strip,211.18,1
dolonex e 60 mg tablet 15s,etoricoxib-60mg,Strip | Tablet,15,211.0,1
dolonex e 90mg strip of 15 tablets,etoricoxib(90.0 mg),STRIP,15 Tablet(s) in Strip,237.58,1
dolonex e 90mg tablet,etoricoxib (90mg),strip,15.0 tablets in 1 strip,143.3909250764526,1
dolonex e 90 tablet 15s,etoricoxib-90mg,Strip | Tablet,15,237.5,1
dolonex gel 15gm,piroxicam 5 mg,Tube,15,70.32,3
dolonex gel 15 gm,piroxicam-5mg,Tube | Gel,15,79.5,3
dolonex im 20 mg injection 1 ml,piroxicam-20mg,Ampoule | Injection,1,35.0,2
dolonex im ampoule of 2ml solution for injection,piroxicam(40.0 mg),AMPOULE,2ml Solution For Injection in Ampoule,58.42,2
dolonex im ampoule of 2ml solution for injection pack of 5,piroxicam(40.0 mg),AMPOULE,2ml Solution For Injection in Ampoule,86.43,2
dolonex im injection,piroxicam 20mg,injection,1 vial,31.85,2
dolonex injection 2ml,piroxicam 20mg/ml,injection,2,53.12,2
dolonex rapid 20mg tablet,piroxicam 20mg,strip,20,123.78,1
dolonex rapid 20mg tablets,piroxicam(20.0 mg),STRIP,10 Tablet(s) in Strip,136.15,1
dolonex rapid 20 tablet 10s,piroxicam-20mg,Strip | Tablet,10,136.15,1
doloni 75mg injection,diclofenac (75mg),injection,1.0 Injection in 1 ampoule,10.0,2
doloni ampoule of 3ml injection,diclofenac sodium(75.0 mg),AMPOULE,3ml Injection in Ampoule,4.0,2
dolonice 25mg injection,diclofenac 25mg/ml,injection,25,7.9,2
dolonide 100mg tablet,nimesulide 100mg,strip,100,30.0,1
